level,exp
1,0.0
2,83.0
3,174.0
4,276.0
5,388.0
6,512.0
7,650.0
8,801.0
9,969.0
10,1154.0
11,1358.0
12,1584.0
13,1833.0
14,2107.0
15,2411.0
16,2746.0
17,3115.0
18,3523.0
19,3973.0
20,4470.0
21,5018.0
22,5624.0
23,6291.0
24,7028.0
25,7842.0
26,8740.0
27,9730.0
28,10824.0
29,12031.0
30,13363.0
31,14833.0
32,16456.0
33,18247.0
34,20224.0
35,22406.0
36,24815.0
37,27473.0
38,30408.0
39,33648.0
40,37224.0
41,41171.0
42,45529.0
43,50339.0
44,55649.0
45,61512.0
46,67983.0
47,75127.0
48,83014.0
49,91721.0
50,101333.0
51,111945.0
52,123660.0
53,136594.0
54,150872.0
55,166636.0
56,184040.0
57,203254.0
58,224466.0
59,247886.0
60,273742.0
61,302288.0
62,333804.0
63,368599.0
64,407015.0
65,449428.0
66,496254.0
67,547953.0
68,605032.0
69,668051.0
70,737627.0
71,814445.0
72,899257.0
73,992895.0
74,1096278.0
75,1210421.0
76,1336443.0
77,1475581.0
78,1629200.0
79,1798808.0
80,1986068.0
81,2192818.0
82,2421087.0
83,2673114.0
84,2951373.0
85,3258594.0
86,3597792.0
87,3972294.0
88,4385776.0
89,4842295.0
90,5346332.0
91,5902831.0
92,6517253.0
93,7195629.0
94,7944614.0
95,8771558.0
96,9684577.0
97,10692629.0
98,11805606.0
99,13034431.0
